"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10152224130991078_10154686658421078","7003656077_10152224145306078","AmericanAirlines",5000,9,0,1502942156,0.348631095,0.056853049,0.171010732,0.216945697,0.185913716,0.02064571
"10152437270736078_10154655614346078","7003656077_10152437286341078","AmericanAirlines",1338,10,0,1501869358,0.175667371,0.270392499,0.11452006,0.215865349,0.139762739,0.083791983
"10152437270736078_10154655615966078","7003656077_10152437286341078","AmericanAirlines",1338,21,0,1501869424,0.14373148,0.33441067,0.054888651,0.330425572,0.105370557,0.031173071
"10152668249121078_10154682174731078","7003656077_10152668249121078","AmericanAirlines",2130,19,0,1502776488,0.070704192,0.330763994,0.031165624,0.322866333,0.175148211,0.069351647
"10153253462261078_10154671618221078","7003656077_10153253469266078","AmericanAirlines",298,42,0,1502408301,0.13742626,0.305539906,0.142719761,0.231970013,0.18234406,0
"10153531038761078_2016824548552337","7003656077_10153531038761078","AmericanAirlines",4326,5,1,1503049353,0.215974636,0.198025922,0.096809206,0.312420425,0.157607121,0.01916269
"10153977266256078_10154673321936078","7003656077_10153977266256078","AmericanAirlines",4639,47,0,1502473964,0.093450616,0.491387953,0.114151788,0.108254831,0.173811669,0.018943142
"10154022977991078_10154647784476078","7003656077_10154022977991078","AmericanAirlines",4275,13,0,1501578704,0.319456389,0.062477455,0.255044881,0.09116839,0.238200636,0.03365225
"10154263610796078_10154659995711078","7003656077_10154263610796078","AmericanAirlines",4527,6,0,1502003669,0.454395696,0.062787773,0.30728873,0.05528788,0.083611903,0.036628018
"10154263610796078_10154660004711078","7003656077_10154263610796078","AmericanAirlines",4527,29,0,1502004036,0.414502184,0.097080931,0.243418814,0.090951949,0.132102721,0.021943401
"10154417145506078_10154686383036078","7003656077_10154417145506078","AmericanAirlines",260,2,0,1502933527,0.051791652,0.411781163,0.103701169,0.179741539,0.149242489,0.103741987
"10154462263191078_10154690908236078","7003656077_10154462263191078","AmericanAirlines",4236,3,0,1503095748,0.24210273,0.17294234,0.158842604,0.199135343,0.140041367,0.086935617
