"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10155190762835781_10155334944980781","199504650087085_10155190762835781","United",367,78,0,1501639364,0.009258472,0.587189223,0.012698686,0.226602971,0.108532151,0.055718497
"1070677129636495_1466023640101840","199504650087085_1070677129636495","United",364,7,0,1503852511,0.230786258,0.097884174,0.209779722,0.094960589,0.291696709,0.074892548
"1273344189369787_1442256722478532","199504650087085_1273344189369787","United",1295,39,0,1501563452,0.022499286,0.694810506,0.031015223,0.173177509,0.067659624,0.010837852
"1286880621349477_1443113662392838","199504650087085_1286880621349477","United",1852,2,0,1501650324,0.343278583,0.068339817,0.13003306,0.07020041,0.354129705,0.034018424
"1309018619135677_1444949168875954","199504650087085_1309018619135677","United",820,5,0,1501827795,0.158872347,0.175693273,0.194417664,0.166074063,0.186237073,0.11870558
"1315890551781817_166234563942792","199504650087085_1315890551781817","United",176,4,2,1503897456,0.258525408,0.089255822,0.264396275,0.195582249,0.192240246,0
"1347050241999181_168390063732288","199504650087085_1347050241999181","United",2097,439,0,1503996193,0.057779218,0.276696182,0.112234743,0.19968918,0.210029387,0.14357129
"1348457008525171_1728070260829419","199504650087085_1348457008525171","United",1004,409,0,1503995975,0.204769886,0.172159115,0.271435608,0.135960947,0.147144353,0.068530092
"1381150841922454_1444700742234130","199504650087085_1381150841922454","United",479,7,1,1501803053,0.29607303,0.053888688,0.42144294,0.059823457,0.132295444,0.036476442
"1392831467421058_1443099585727579","199504650087085_1392831467421058","United",262,4,0,1501649455,0.401297452,0.070951262,0.213851153,0.051461519,0.239005247,0.023433367
"1393614120676126_1443087932395411","199504650087085_1393614120676126","United",2667,22,0,1501648203,0.052189901,0.684884763,0.076928134,0.066543732,0.100130639,0.019322831
"1393614120676126_1460334464004091","199504650087085_1393614120676126","United",2667,49,0,1503291342,0.354784018,0.104219544,0.158900675,0.098212867,0.197068636,0.08681426
"1400562153314656_1444052815632256","199504650087085_1400562153314656","United",974,3,0,1501742219,0.488410433,0.074038071,0.321904497,0.011775493,0.095731702,0.008139804
"1400562153314656_1466721853365352","199504650087085_1400562153314656","United",974,6,0,1503923738,0.077669609,0.219896296,0.080177215,0.372680695,0.228698425,0.02087776
"1400562153314656_1466986630005541","199504650087085_1400562153314656","United",974,7,0,1503949544,0.098915173,0.14399664,0.153292309,0.253541558,0.278990027,0.071264293
"1406914652679406_1451552764882261","199504650087085_1406914652679406","United",545,3,0,1502435828,0.008568814,0.783358644,0.01619877,0.09273699,0.042483598,0.056653185
"1407463959291142_1445514608819410","199504650087085_1407463959291142","United",604,15,0,1501880885,0.043036109,0.635063591,0.042224082,0.153743836,0.105419267,0.020513115
"1411285795575625_1443916695645868","199504650087085_1411285795575625","United",125,54,0,1501727514,0.014518948,0.821262897,0.021526023,0.084748394,0.041167023,0.016776714
"1411285795575625_1450431938327677","199504650087085_1411285795575625","United",125,14,2,1502324031,0.01233045,0.151059187,0.058264883,0.411271154,0.269977737,0.09709659
"1415917295112475_1445351165502421","199504650087085_1415917295112475","United",164,41,0,1501867304,0.018171012,0.432215631,0.013811403,0.333531859,0.122276248,0.079993847
"1429341567103381_1442713119099559","199504650087085_1429341567103381","United",881,21,0,1501613531,0.085054992,0.173069273,0.087897447,0.296262718,0.175236043,0.182479527
"1429341567103381_1443366495700888","199504650087085_1429341567103381","United",881,16,3,1501675825,0.421111657,0.110151494,0.11049995,0.199693963,0.127267301,0.031275634
"1431235386913999_1444995045538033","199504650087085_1431235386913999","United",295,24,0,1501832116,0.012086604,0.653917927,0.011480011,0.251653059,0.0589508,0.011911599
"1431516133552591_1443916335645904","199504650087085_1431516133552591","United",3871,54,0,1501727476,0.014518948,0.821262897,0.021526023,0.084748394,0.041167023,0.016776714
"1431516133552591_1444126505624887","199504650087085_1431516133552591","United",3871,6,0,1501749448,0.008167286,0.290350475,0.013981717,0.317120743,0.276802475,0.093577304
"1431516133552591_1450102685027269","199504650087085_1431516133552591","United",3871,24,0,1502299218,0.132723049,0.086030905,0.139608899,0.124727242,0.114733432,0.402176472
"1435396016497936_1442519745785563","199504650087085_1435396016497936","United",232,12,0,1501594904,0.199260284,0.33697371,0.035747155,0.326006928,0.073991626,0.028020298
"1435396016497936_1442995049071366","199504650087085_1435396016497936","United",232,111,0,1501637314,0.016337707,0.510772338,0.026638916,0.277873124,0.142677616,0.025700297
"1435396016497936_1444759345561603","199504650087085_1435396016497936","United",232,35,0,1501808440,0.072696537,0.334297836,0.10664194,0.242279048,0.23183387,0.01225077
"1435396016497936_1444885078882363","199504650087085_1435396016497936","United",232,21,0,1501821865,0.013350553,0.507294557,0.012704132,0.342068843,0.0923027,0.032279214
"1435396016497936_1446510208719850","199504650087085_1435396016497936","United",232,79,0,1501966566,0.178288315,0.136855795,0.146855793,0.359272753,0.143686394,0.03504095
"1435396016497936_1447500725287465","199504650087085_1435396016497936","United",232,22,0,1502053513,0.165700181,0.320245977,0.145782061,0.18831511,0.146476107,0.033480562
"1435396016497936_1452221508148720","199504650087085_1435396016497936","United",232,51,0,1502499879,0.012957872,0.433832088,0.016757866,0.346828916,0.106580463,0.083042795
"1435651333139071_1446556592048545","199504650087085_1435651333139071","United",195,79,0,1501970318,0.178288315,0.136855795,0.146855793,0.359272753,0.143686394,0.03504095
"1435651333139071_1448976505139887","199504650087085_1435651333139071","United",195,12,0,1502188872,0.005750297,0.666972752,0.010104554,0.150347502,0.089125475,0.07769942
"1435651333139071_1458383634199174","199504650087085_1435651333139071","United",195,11,0,1503103327,0.305705952,0.144030068,0.185312315,0.152765347,0.116107644,0.096078675
"1437352879635583_1442317789139092","199504650087085_1437352879635583","United",2907,7,0,1501570358,0.501539284,0.106791032,0.169802798,0.059427903,0.134963899,0.027475083
"1437352879635583_1442399689130902","199504650087085_1437352879635583","United",2907,6,5,1501578577,0.239085217,0.195650408,0.448995999,0.037574494,0.059095553,0.019598329
"1437352879635583_1442655872438617","199504650087085_1437352879635583","United",2907,2,0,1501609060,0.232790794,0.174072546,0.204445364,0.140367281,0.137412946,0.11091107
"1437352879635583_1442739292430275","199504650087085_1437352879635583","United",2907,99,1,1501615509,0.008930089,0.450072539,0.015724944,0.342701438,0.15869973,0.023871261
"1437352879635583_1442771045760433","199504650087085_1437352879635583","United",2907,2,1,1501618161,0.411472306,0.050011095,0.285651361,0.089627185,0.132239105,0.030998948
